车id,车名字,最小价格,最大价格,口碑评分,符合条件类型的车数量,指导价,排名,日期
7935,日产N7,119900,149900,0.0,5,119900,关注榜第6名,
5769,Model Y,263500,313500,4.4551,2,263500,0-100km/h加速时间第3名,
8042,银河星耀8,125800,165800,4.7143,7,115800,关注榜第9名,
6962,小米SU7,215900,299900,4.395,3,0,新能源销量第4名,2025-04
7806,星愿,68800,97800,4.5474,5,68800,新能源销量第1名,2025-04
7979,深蓝S09,239900,309900,0.0,5,239900,大型SUV销量第7名,2025-04
6950,理想L6,249800,279800,4.402,4,249800,插混/增程30-80%充电用时第1名,
8002,领克900,309900,416900,4.1208,4,289900,大型SUV销量第4名,2025-04
8003,问界M8,359800,449800,4.5714,6,359800,大型SUV销量第5名,2025-04
5964,秦PLUS,79800,179800,4.4069,23,67800,紧凑型轿车销量第1名,2025-04
7356,钛3,133800,193800,4.5066,5,133800,暂无,暂无
6762,海鸥,69800,85800,4.506,6,56800,能耗榜百公里能耗第1名,
7578,秦L,99800,155800,4.5161,14,89800,中型轿车销量第1名,2025-04
7177,豹5,239800,329800,4.6143,8,239800,插混/增程30-80%充电用时第1名,
7207,问界M9,469800,569800,4.5714,17,469800,麋鹿榜麋鹿测试成绩第4名,
7398,eπ007,131600,199600,4.5079,6,119900,中大型轿车销量第14名,2025-04
7628,与众06,189900,249900,4.4286,7,0,暂无,暂无
5761,宋PLUS新能源,135800,180800,4.4395,17,115800,能耗榜馈电油耗第1名,
7382,零跑C10,122800,168800,4.5589,12,111800,10-15万中型SUV销量第4名,2025-04
6388,问界M5,229800,279800,4.4559,6,229800,20-25万中型SUV销量第11名,2025-04
5499,汉,165800,259800,4.4329,34,149800,中大型轿车销量第2名,2025-04
7839,腾势N9,389800,449800,4.6224,2,389800,大型SUV销量第2名,2025-04
7928,传祺向往S7,175800,229800,4.516,6,169800,15-20万中大型SUV销量第2名,2025-04
7658,别克GL8新能源,249900,419900,4.5489,7,249900,35-50万新能源销量第9名,2025-04
7569,深蓝G318,175900,229900,4.5714,8,145900,插混/增程纯电续航达成率第1名,
7076,魏牌 高山,309800,353800,4.5714,3,309800,25-35万MPV销量第14名,2025-03
6669,腾势D9,339800,600600,4.4724,8,339800,MPV销量第1名,2025-04
5346,Model 3,235500,339500,4.4974,3,235500,中型轿车销量第11名,2025-04
7752,阿维塔06,209900,279900,4.4824,5,209900,中型轿车销量第14名,2025-04
7877,零跑B10,99800,129800,4.5118,5,99800,5-10万紧凑型SUV销量第9名,2025-03
5714,宏光MINIEV,32800,99900,4.7142,30,38800,轿车销量第3名,2025-04
7588,海豹06新能源,99800,139800,4.4416,10,86800,10-15万中型轿车销量第2名,2025-04
7915,小米SU7 Ultra,529900,814900,4.6057,1,0,暂无,暂无
8005,唐L,229800,289800,4.5184,6,229800,20-25万中大型SUV销量第2名,2025-04
6643,问界M7,249800,329800,4.5673,8,249800,20-25万中大型SUV销量第4名,2025-04
6576,理想L9,409800,439800,4.5182,4,409800,大型SUV销量第3名,2025-04
7674,零跑C16,155800,189800,4.5499,8,148800,15-20万中大型SUV销量第1名,2025-04
7353,豹8,379800,423800,4.5918,8,379800,35-50万中大型SUV销量第5名,2025-04
7859,汉L,209800,279800,0.0,6,209800,中大型轿车销量第8名,2025-04
7851,夏,249800,309800,4.4044,5,239800,4月MPV销量第7名,2025-04
4881,蔚来ES6,338000,396000,4.5876,4,338000,35-50万中型SUV销量第3名,2025-04
7696,北京越野BJ40增程,179800,299800,4.5835,3,179800,暂无,暂无
6949,理想L7,301800,359800,4.5848,6,301800,中大型SUV销量第2名,2025-04
7323,风神L7,94900,224500,4.45,21,94900,5-10万紧凑型SUV销量第6名,2025-04
6139,海豚,99800,129800,4.4132,7,79800,小型轿车销量第4名,2025-04
7975,长安启源Q07,129800,171800,4.5453,6,129800,10-15万中型SUV销量第8名,2025-04
7349,五菱星光,79800,109800,4.4976,8,59800,10-15万中型轿车销量第7名,2025-04
7864,银河星舰7 EM-i,97800,130800,4.4856,5,89800,新能源销量第18名,2025-04
7815,宋L DM-i,135800,175800,4.4314,10,119800,能耗榜馈电油耗第2名,
3430,唐新能源,179800,269800,4.4566,18,128800,插混/增程纯电续航达成率第2名,
7980,荣威D6,99800,139800,3.9286,6,79800,暂无,暂无
5205,零跑C11,148800,209800,4.4747,9,131800,20-25万中型SUV销量第4名,2025-04
7045,五菱缤果,56800,84800,4.8572,9,46800,小型轿车销量第3名,2025-04
8010,极氪007GT,202900,262900,4.4743,4,199900,暂无,暂无
6459,岚图梦想家,329900,449900,4.5175,12,329900,4月MPV销量第3名,2025-04
7298,哈弗猛龙新能源,165800,192800,4.5316,4,145800,15-20万紧凑型SUV销量第14名,2025-04
5279,宋Pro新能源,102800,142800,4.457,13,89800,紧凑型SUV销量第5名,2025-04
7650,银河E5,107800,143800,4.5119,5,99800,纯电30-80%充电用时第3名,
7364,纳米01,65800,139800,4.5376,11,65800,小型轿车销量第5名,2025-04
6298,元PLUS,115800,147800,4.5705,10,105800,紧凑型SUV销量第8名,2025-04
5275,红旗H5 PHEV,185800,199800,0.0,2,159800,暂无,暂无
6998,小鹏MONA M03,119800,155800,4.5589,3,119800,能耗榜百公里能耗第3名,
7150,哈弗枭龙MAX,131800,169800,4.5735,5,116800,10-15万中型SUV销量第6名,2025-04
6293,大切诺基4xe(进口),349000,439000,0.0,3,349000,暂无,暂无
7712,铂智3X,109800,159800,4.5714,7,109800,15-20万紧凑型SUV销量第12名,2025-04
7730,智界R7,249800,339800,4.5292,8,249800,20-25万中大型SUV销量第3名,2025-04
6979,魏牌 蓝山,299800,326800,4.5228,3,273800,能耗榜馈电油耗第3名,
6910,理想L8,321800,379800,4.3964,6,321800,35-50万中大型SUV销量第2名,2025-04
7899,悦意03,79800,122900,4.5955,6,79800,暂无,暂无
7170,银河E8,149800,215800,4.4859,9,140800,中大型轿车销量第10名,2025-04
6817,深蓝S07,149900,197900,4.4518,8,119900,15-20万中型SUV销量第10名,2025-04
7704,红旗天工06,179800,225800,0.0,6,179800,暂无,暂无
7504,坦克700新能源,428000,700000,4.4533,3,428000,50-100万中大型SUV销量第5名,2025-04
7740,深蓝S05,119900,145900,4.4816,6,109900,紧凑型SUV销量第19名,2025-04
7977,海狮07 DM-i,169800,205800,0.0,3,169800,暂无,暂无
7514,智己L6,219900,345900,4.5281,10,199900,中大型轿车销量第19名,2025-04
6265,大众ID.3,129888,147888,4.5246,8,119888,10-15万紧凑型轿车销量第17名,2025-04
7126,阿维塔12,269900,700000,4.5498,15,265800,中大型轿车销量第13名,2025-04
7231,奔腾小马,24900,53900,4.5229,10,24900,微型轿车销量第5名,2025-04
7649,奇瑞iCAR V23,109800,149800,4.5447,5,109800,暂无,暂无
7630,享界S9,309800,449800,4.6572,6,309800,中大型轿车销量第16名,2025-04
7652,阿维塔07,219900,289900,4.5964,12,219900,20-25万中型SUV销量第12名,2025-04
6653,坦克500新能源,335000,363800,4.6047,4,335000,35-50万中大型SUV销量第3名,2025-04
7167,银河L6,79800,149800,4.5816,5,79800,紧凑型轿车销量第10名,2025-04
7694,海豹06GT,136800,186800,4.4399,8,124800,10-15万中型轿车销量第3名,2025-04
7918,AION UT,69800,101800,4.5517,6,69800,小型轿车销量第6名,2025-04
6544,宝马i3,353900,413900,4.4898,4,177000,降价榜第2名,
7209,长安启源A07,119900,159900,4.6388,10,115900,中大型轿车销量第7名,2025-04
6394,海豹,149800,249800,4.4108,19,129800,暂无,暂无
6924,熊猫,29900,53900,4.5903,8,29900,新能源销量第9名,2025-04
7174,星纪元 ET,172800,319800,4.2857,18,172800,插混/增程纯电续航达成率第3名,
7982,海狮05 EV,117800,137800,4.6667,3,117800,紧凑型SUV销量第16名,2025-04
6846,极氪009,439000,899000,4.3862,8,439000,MPV销量第12名,2025-04
7554,小鹏P7+,186800,208800,4.4925,3,186800,中大型轿车销量第6名,2025-04
7210,坦克300新能源,249800,249800,4.4882,1,249800,20-25万紧凑型SUV销量第10名,2025-04
7671,五菱星光S,99800,129800,4.4803,5,79800,5-10万紧凑型SUV销量第10名,2025-04
7777,极氪7X,229900,269900,4.5403,3,229900,20-25万中型SUV销量第9名,2025-04
6091,极氪001,259000,329000,4.5209,5,259000,中大型轿车销量第11名,2025-04
7687,乐道L60,206900,255900,4.5125,4,206900,纯电30-80%充电用时第1名,
7692,马自达EZ-6,139800,179800,4.5291,7,99800,10-15万中型轿车销量第10名,2025-03
7345,捷途山海T2,179900,239900,4.5608,9,159900,20-25万紧凑型SUV销量第14名,2025-04
6674,长安Lumin,37900,65900,4.5286,12,36900,新能源销量第14名,2025-04
7306,蔚来ET5T,298000,356000,4.504,2,298000,0-100km/h加速时间第1名,
7826,宝骏享境,129800,153800,4.5105,4,125800,暂无,暂无
7035,星纪元 ES,152800,299900,4.5078,16,152800,中大型轿车销量第9名,2025-04
7538,元UP,96800,119800,4.4297,7,86800,10-15万小型SUV销量第1名,2025-04
6851,海狮07 EV,189800,239800,4.5714,8,179800,20-25万中型SUV销量第13名,2025-04
7442,风云T9,132900,193900,3.989,14,124900,10-15万中型SUV销量第7名,2025-04
7860,AION RT,119800,165800,4.572,6,114800,紧凑型轿车销量第20名,2025-04
6353,深蓝SL03,119900,209900,4.1429,10,119900,暂无,暂无
7003,仰望U8,1098000,1098000,4.5636,2,1098000,大型SUV销量第9名,2025-04
6939,理想MEGA,529800,559800,4.5336,3,529800,50-100万新能源销量第5名,2025-03
7929,昊铂HL,269800,319800,4.5835,8,269800,暂无,暂无
7162,小鹏G6,176800,198800,4.5856,3,176800,15-20万中型SUV销量第9名,2025-04
7243,领克08 EM-P,185800,248800,4.5405,6,165800,能耗榜馈电油耗第8名,
5758,宝马iX3,405000,445000,4.3737,2,210600,降价榜第6名,
7220,宋L EV,189800,249800,4.4584,8,179800,20-25万中型SUV销量第17名,2025-04
5213,小鹏P7,223900,339900,4.5694,3,184900,暂无,暂无
5976,AION Y,109800,145800,4.5401,10,93800,10-15万紧凑型SUV销量第17名,2025-04
6492,小鹏G9,248800,278800,4.6642,3,248800,20-25万中大型SUV销量第8名,2025-04
7213,坦克400新能源,285800,289800,4.5478,2,285800,插混/增程纯电续航达成率第5名,
7158,银河L7,115800,169700,4.5537,9,113700,15-20万紧凑型SUV销量第19名,2025-04
7456,eπ008,178600,203600,4.5165,16,163600,15-20万中大型SUV销量第4名,2025-04
5515,零跑T03,59900,69900,4.5772,4,41900,微型轿车销量第4名,2025-04
7981,海豹05 DM-i,79800,103800,0.0,3,79800,5-10万紧凑型轿车销量第12名,2025-04
6453,蔚来ET5,298000,356000,4.5233,2,298000,25-35万中型轿车销量第11名,2025-04
7327,极狐 阿尔法S5,127800,184800,4.4593,9,119800,10-15万中型轿车销量第6名,2025-04
7305,智己LS6,239900,302900,4.5703,10,209900,20-25万中大型SUV销量第5名,2025-04
7067,小鹏X9,359800,419800,4.4602,9,319800,MPV销量第13名,2025-04
7705,红旗天工05,159800,185800,4.4764,4,159800,暂无,暂无
7491,极氪007,209900,299900,4.5049,5,209900,中型轿车销量第20名,2025-04
7355,智界S7,229800,329800,4.5591,5,229800,20-25万中大型轿车销量第10名,2025-04
7822,海豹07 DM-i,139800,195800,4.496,10,126800,10-15万中型轿车销量第8名,2025-04
7125,极狐 阿尔法T5,119800,199800,4.5822,9,118800,10-15万中型SUV销量第9名,2025-04
6337,驱逐舰05,79800,136800,4.5177,8,69800,紧凑型轿车销量第15名,2025-04
7990,firefly萤火虫,119800,125800,4.7143,2,119800,暂无,暂无
5845,领克Z10,186800,282800,4.3386,7,186800,20-25万中大型轿车销量第9名,2025-04
7812,领克Z20,135900,150900,4.5074,3,131900,15-20万紧凑型SUV销量第13名,2025-04
5785,ID.4 CROZZ,149900,243600,4.8572,4,139900,20-25万紧凑型SUV销量第11名,2025-04
6161,零跑C01,136800,199800,4.5506,7,119800,中大型轿车销量第18名,2025-04
7537,翼真L380,299900,599900,4.5532,9,299900,暂无,暂无
6334,领克09 EM-P,275800,347800,3.9673,6,246900,暂无,暂无
5569,蔚来EC6,358000,416000,4.5055,4,358000,35-50万中型SUV销量第7名,2025-04
7738,深蓝L07,151900,173900,4.1428,15,131900,15-20万中型轿车销量第18名,2025-04
5511,ID.4 X,159888,211888,4.2972,8,135888,20-25万紧凑型SUV销量第13名,2025-04
7344,宝马i5,439900,539900,4.4816,10,285900,35-50万中大型轿车销量第9名,2025-04
5576,领克07 EM-P,159800,179800,4.5203,3,145800,暂无,暂无
7043,别克E5,169900,211900,4.7857,3,135900,15-20万中大型SUV销量第7名,2025-04
7329,传祺E8新能源,216800,238800,4.4825,7,206800,4月MPV销量第9名,2025-04
7351,长安启源Q05,96900,112900,4.1909,5,63900,5-10万紧凑型SUV销量第11名,2025-04
7807,海狮05 DM-i,102800,142800,4.4822,8,89800,暂无,暂无
7659,腾势Z9GT,334800,414800,4.5341,5,334800,35-50万中大型轿车销量第8名,2025-04
7677,广汽本田P7,199900,249900,0.0,3,199900,暂无,暂无
7397,捷途山海L9,164900,242900,4.5294,18,146900,20-25万中型SUV销量第19名,2025-04
6354,阿维塔11,279900,429900,4.5714,11,279900,暂无,暂无
7897,五菱之光新能源,47800,50800,4.3296,2,46300,5万以内车型销量第8名,2025-04
7314,长安启源A05,78900,103900,4.4378,5,49900,5-10万紧凑型轿车销量第14名,2025-03
7546,蔚来ET9,788000,808000,0.0,2,788000,50-100万新能源销量第4名,2025-04
7572,五菱缤果PLUS,75800,98800,4.3878,5,69800,小型SUV销量第7名,2025-04
5924,岚图FREE,228900,266900,4.5109,2,218900,20-25万中大型SUV销量第10名,2025-04
7673,红旗HS3 PHEV,159800,159800,4.3623,1,139800,暂无,暂无
6903,丰田bZ3,169800,199800,4.5191,3,123800,15-20万中型轿车销量第17名,2025-04
5622,AION V,129800,193600,4.5863,11,121800,15-20万紧凑型SUV销量第17名,2025-03
7391,仰望U7,628000,708000,0.0,4,628000,暂无,暂无
6336,奥迪Q5 e-tron,298500,432500,4.8571,14,229500,35-50万中大型SUV销量第12名,2025-04
7116,仰望U9,1680000,1680000,4.8572,1,1680000,暂无,暂无
4864,沃尔沃S90插电式混动,499900,613900,3.5714,2,349000,50-100万中大型轿车销量第10名,2025-04
7863,风云A8L,109900,149900,4.5349,5,109900,暂无,暂无
6369,smart精灵#1,154900,284900,4.4489,6,146900,15-20万小型SUV销量第2名,2025-04
7223,宝马iX1,299900,339900,4.3352,4,152900,降价榜第4名,
6309,QQ冰淇淋,29900,56900,4.2858,6,27900,微型轿车销量第6名,2025-04
7301,荣威D7,123800,200800,4.4594,14,79800,10-15万中型轿车销量第4名,2025-04
4942,宝马iX,746900,1009900,4.1429,2,502600,暂无,暂无
8015,比亚迪e7,103800,115800,0.0,3,0,暂无,暂无
